
===== LAUNCHCTL_USER_LIST =====
PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
60244	0	com.apple.progressd
-	0	com.apple.enhancedloggingd
60326	0	com.apple.cloudphotod
60524	0	com.apple.MENotificationService
59994	0	com.apple.Finder
59996	0	com.apple.homed
60210	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
60096	0	com.apple.mediaremoteagent
59919	0	com.apple.FontWorker
72921	0	com.tencent.xinWeChat-sparkle-progress
59891	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	0	com.apple.knowledgeconstructiond
59937	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
70038	0	ai.agent-core.runtime
60145	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
59877	0	com.apple.nsurlsessiond
60318	0	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
59893	0	com.apple.iconservices.iconservicesagent
60668	0	com.apple.diagnosticextensionsd
-	0	com.apple.intelligenceplatformd
59969	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
60569	0	com.apple.ndoagent
60003	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
60350	0	com.llmwiki.local
59925	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
60173	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.appleaccounttransparencyd
60355	0	com.videobridge
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
59985	0	com.apple.ManagedSettingsAgent
60140	0	com.apple.photolibraryd
59988	0	application.org.ikuuu.vpn.59350152.59352348
-	0	com.docker.helper
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
60196	0	com.apple.ThreadCommissionerService
61450	0	com.apple.tipsd
-	0	com.apple.stickersd
-	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
60363	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
59875	0	com.apple.CommCenter
991	0	com.apple.trustd.agent
93286	0	com.apple.mdworker.shared.14000000-0600-0000-0000-000000000000
-	0	com.apple.mdworker.mail
92853	0	com.apple.mdworker.shared.0E000000-0000-0000-0000-000000000000
-	0	com.apple.appkit.xpc.ColorSampler
93322	0	com.apple.mdworker.shared.06000000-0200-0000-0000-000000000000
93416	0	com.apple.mdworker.shared.13000000-0500-0000-0000-000000000000
962	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
-	0	com.apple.CoreDevice.remotepairingd
48415	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
80573	0	application.com.openai.codex.67245801.67245807
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
-	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
59931	0	com.apple.replicatord
60418	0	com.apple.keyboardservicesd
60306	0	com.apple.accessibility.axassetsd
60001	0	com.apple.quicklook.ThumbnailsAgent
63389	0	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
59900	0	com.apple.WindowManager.agent
59862	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
59934	0	com.apple.webprivacyd
60415	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
59902	0	application.com.apple.ProblemReporter.1152921500312098304.1152921500312098309
60346	0	com.deepseek-harness.mobile-proxy
-	0	com.apple.uarppersonalizationd
-	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
60352	0	com.article-review-canary
60515	0	com.apple.voicebankingd
-	0	com.apple.gamesaved
-	0	com.apple.universalaccesscontrol
62688	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
59957	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.arkitd
-	0	com.apple.systemprofiler
65643	0	com.apple.homeenergyd
59906	0	com.apple.cloudd
-	0	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
59921	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
59973	0	com.apple.diagnostics_agent
