abseil 20260107.1
ada-url 4.0.0
aom 3.14.1
aria2 1.37.0_2
boost 1.90.0_1
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-08-13
cairo 1.18.4
ceres-solver 2.2.0_6
cgal 6.2
cgns 4.5.2
colmap 4.1.0_1
dav1d 1.5.4
dbus 1.16.2_1
double-conversion 3.4.0
eigen 5.0.1
faiss 1.14.3
ffmpeg 8.1.2_1
flann 1.9.2_4
fmt 12.2.0
fontconfig 2.18.2
freetype 2.14.3
fribidi 1.0.16
gcc 16.1.0
gettext 1.0
gflags 2.3.0
ggml 0.18.0
gh 2.100.0
giflib 6.1.3
gitleaks 8.30.1
glew 2.3.1
glib 2.88.2
glog 0.7.1
gmp 6.3.0
graphite2 1.3.15
harfbuzz 14.2.1
hdf5 2.1.1
hdrhistogram_c 0.11.10
highway 1.4.0
hwloc 2.14.0
icu4c@78 78.3
imath 3.2.2
isl 0.28
jpeg-turbo 3.2.0
jpeg-xl 0.12.0
json-c 0.19
jsoncpp 1.9.8
lame 4.0
leptonica 1.87.0
libaec 1.1.7
libarchive 3.8.8
libb2 0.98.1
libdatrie 0.2.14
libde265 1.1.1
libdeflate 1.25
libffi 3.8.0
libharu 2.4.6
libheif 1.23.1
libmpc 1.4.1
libnghttp2 1.70.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libogg 1.3.6
libomp 22.1.8
libpng 1.6.58
libraw 0.22.2
libssh2 1.11.1_4
libthai 0.1.30
libtiff 4.7.2
libunistring 1.4.2
libuv 1.52.1
libvmaf 3.2.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
lima 2.1.4
little-cms2 2.19
llama.cpp 10210
llhttp 9.4.3
lz4 1.10.0
lzo 2.10
md4c 0.5.3
merve 1.2.2_2
metis 5.1.0
minizip-ng 4.2.2
mlx 0.32.0
mlx-c 0.6.0_3
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.6
nbytes 0.1.4
netcdf 4.10.1
nlohmann-json 3.12.0
node 26.7.0
numpy 2.5.1
ollama 0.32.14
onnx 1.22.0
onnxruntime 1.27.1
openblas 0.3.33
opencolorio 2.5.2
opencv 5.0.0
openexr 3.4.13_1
openimageio 3.1.15.0_1
openjpeg 2.5.4
openjph 0.30.1
openssl@3 3.6.3
openvino 2026.2.1_1
opus 1.6.1
pango 1.58.0
pcre2 10.47_1
pixman 0.46.4
pkgconf 3.0.3
poselib 2.0.5
proj 9.8.1
protobuf 35.1
pugixml 1.16
pystring 1.2.0
python@3.13 3.13.14_1
python@3.14 3.14.7
qtbase 6.11.1
qtdeclarative 6.11.1
qtsvg 6.11.1
re2 2025-11-05
readline 8.3.3
sdl2-compat 2.32.70
sdl3 3.4.12
simdjson 4.6.7
simdutf 9.1.0
snappy 1.2.2
socat 1.8.1.3
sqlite 3.53.4
suite-sparse 7.12.2
svt-av1 4.2.0
tbb 2023.1.0
tesseract 5.5.2
theora 1.2.0
tunnel-client 0.0.11
utf8cpp 4.1.1
uvwasi 0.0.23
vtk 9.6.2
webp 1.6.0
x264 r3222
x265 4.2
xorgproto 2025.1
xz 5.8.3
yaml-cpp 0.9.0
zlib-ng-compat 2.3.3_1
zstd 1.5.7_1
alt-tab 11.4.3
blender 5.2.0
flameshot 14.0.0,14.0
godot 4.7.1
libreoffice 26.2.5
