abseil 20260107.1
ada-url 3.4.3
aliyun-cli 3.3.14
arduino-cli 1.4.0
bitwarden-cli 2026.1.0
brotli 1.2.0
c-ares 1.34.6
ca-certificates 2026-05-14
cairo 1.18.4
certifi 2026.5.20
chromaprint 1.6.0
cloudflared 2025.11.1
cmake 4.3.1
coreutils 9.10
curl 8.12.1
dav1d 1.5.3
deno 2.8.0
docker 27.5.1
docker-completion 27.5.1
eigen 5.0.1
ffmpeg 8.1.1
fish 3.7.1
flac 1.5.0
fmt 12.1.0
fontconfig 2.17.1 2.18.1
freetype 2.14.3
fribidi 1.0.16
gcc 15.2.0_1
gettext 1.0
gh 2.87.3
giflib 6.1.3
gitleaks 8.30.1
glib 2.88.0 2.88.2
gmp 6.3.0
gnupg 2.5.19
gnutls 3.8.13
gpgme 2.0.1
gpgmepp 2.0.0
gradle 9.2.0
gradle-completion 9.2.0
graphite2 1.3.14 1.3.15
harfbuzz 14.2.1 14.2.0
hdrhistogram_c 0.11.9
icu4c@77 77.1
icu4c@78 78.3
isl 0.27
jpeg 9f
jpeg-turbo 3.1.4.1
krb5 1.22.2
lame 3.100
lapack 3.12.1
leptonica 1.87.0
libarchive 3.8.7
libass 0.17.4_1
libassuan 3.0.2
libb2 0.98.1
libbluray 1.4.1
libdatrie 0.2.14
libevent 2.1.12_1
libgcrypt 1.12.2
libgpg-error 1.61
libidn2 2.3.8
libksba 1.7.0
libmpc 1.3.1
libnghttp2 1.69.0
libnghttp3 1.15.0
libngtcp2 1.20.0
libogg 1.3.6
libomp 22.1.1
libplacebo 7.360.1
libpng 1.6.58
libsamplerate 0.2.2
libsndfile 1.2.2_1
libssh2 1.11.1
libtasn1 4.21.0
libthai 0.1.30
libtiff 4.7.1_1
libudfread 1.2.0
libunibreak 7.0
libunistring 1.4.2
libusb 1.0.29
libuv 1.52.1
libvmaf 3.1.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxml2 2.13.7
libxrender 0.9.12
libyaml 0.2.5
lima 2.1.4
little-cms2 2.19
llhttp 9.3.1
llvm@20 20.1.8
luajit 2.1.1774896198
lz4 1.10.0
lzo 2.10
molten-vk 1.4.1
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.5
mpv 0.41.0_4
mujs 1.3.9
multica 0.1.27
ncurses 6.5
nettle 3.10.2
nikto 2.6.0
node 25.6.1_1
npth 1.8
nspr 4.39
nss 3.123.1
numpy 2.4.3
onnx 1.20.1_4
openai-whisper 20250625_3
openblas 0.3.31_1
openjdk 25.0.1
openjdk@17 17.0.19
openjpeg 2.5.4
openssl@3 3.6.2
opus 1.6.1
p11-kit 0.26.2
pandoc 3.9.0.2
pango 1.58.0
pcre2 10.47_1
pinentry 1.3.2
pixman 0.46.4
pkgconf 2.5.1
poppler 26.04.0
postgresql@16 16.14
protobuf 34.0
python@3.11 3.11.15
python@3.12 3.12.9
python@3.13 3.13.3
python@3.14 3.14.5
pytorch 2.10.0_1
r 4.4.3_1
readline 8.3.3
rtmpdump 2.4-20151223_3
rubberband 4.0.0
ruby 4.0.1
sdl2 2.32.10
shaderc 2026.2
shellcheck 0.11.0
simdjson 4.3.0
sleef 3.9.0
sqlite 3.53.1
starship 1.24.2
svt-av1 4.1.0
syncthing 2.0.14
tailscale 1.94.2
tcl-tk@8 8.6.16
tectonic 0.16.9
tesseract 5.5.2
tmux 3.6a
uchardet 0.0.8
udunits 2.2.28
unar 1.10.8_5
unbound 1.25.0
utf8proc 2.11.3
uvwasi 0.0.23
vapoursynth 73
vulkan-headers 1.4.350.0
vulkan-loader 1.4.350.0
webp 1.6.0
wget 1.25.0
x264 r3222
x265 4.2
xorgproto 2025.1
xz 5.8.3
yt-dlp 2026.3.17_2
zellij 0.43.1
zimg 3.0.6
zlib 1.3.1
zstd 1.5.7_1
1password-cli 2.34.1
android-platform-tools 36.0.2
android-studio 2025.2.3.9
arduino-ide 2.3.7
brave-browser 1.88.138.0
claude-code 2.1.17
codex 0.133.0
flutter 3.38.7
gcloud-cli 565.0.0
libreoffice 26.2.3
ngrok 3.37.1
obsidian 1.11.5
openscad 2021.01
universal-media-server 15.3.0
wechatwebdevtools 2.01.2510290
