# name | realpath | file-arch
2to3-3.11 | /usr/local/Cellar/python@3.11/3.11.15/Frameworks/Python.framework/Versions/3.11/bin/2to3-3.11 | a /usr/local/Cellar/python@3.11/3.11.15/Frameworks/Python.framework/Versions/3.1
2to3-3.12 | /usr/local/Cellar/python@3.12/3.12.9/Frameworks/Python.framework/Versions/3.12/bin/2to3-3.12 | a /usr/local/Cellar/python@3.12/3.12.9/Frameworks/Python.framework/Versions/3.12
MoltenVKShaderConverter | /usr/local/Cellar/molten-vk/1.4.1/bin/MoltenVKShaderConverter | Mach-O 64-bit executable x86_64
R | /usr/local/Cellar/r/4.4.3_1/bin/R | POSIX shell script text executable, ASCII text
RemoteUpdateManager | /usr/local/bin/RemoteUpdateManager | Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x
/usr/local/bin/RemoteUpdateManager (for architecture x86_64):	Mach-O 64-bit exec
/usr/local/bin/RemoteUpdateManager (for architecture arm64):	Mach-O 64-bit execu
Rscript | /usr/local/Cellar/r/4.4.3_1/bin/Rscript | Mach-O 64-bit executable x86_64
SvtAv1EncApp | /usr/local/Cellar/svt-av1/4.1.0/bin/SvtAv1EncApp | Mach-O 64-bit executable x86_64
__pycache__ | /usr/local/bin/__pycache__ | directory
accelerate | /usr/local/bin/accelerate | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
accelerate-config | /usr/local/bin/accelerate-config | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
accelerate-estimate-memory | /usr/local/bin/accelerate-estimate-memory | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
accelerate-launch | /usr/local/bin/accelerate-launch | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
accelerate-merge-weights | /usr/local/bin/accelerate-merge-weights | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
adaparse | /usr/local/Cellar/ada-url/3.4.3/bin/adaparse | Mach-O 64-bit executable x86_64
adb | /usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/adb | Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/adb (for archit
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/adb (for archit
addbuiltin | /usr/local/Cellar/nss/3.123.1/bin/addbuiltin | Mach-O 64-bit executable x86_64
adig | /usr/local/Cellar/c-ares/1.34.6/bin/adig | Mach-O 64-bit executable x86_64
agent-browser | /usr/local/lib/node_modules/agent-browser/bin/agent-browser-darwin-x64 | Mach-O 64-bit executable x86_64
agent-browser-mcp | /usr/local/lib/node_modules/agent-browser-mcp/dist/index.js | a /usr/bin/env node script text executable, ASCII text
agentcore-cron | /Users/yanfenma/workspace/project/dsh-agent-core/scripts/agentcore-cron.mjs | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
ahost | /usr/local/Cellar/c-ares/1.34.6/bin/ahost | Mach-O 64-bit executable x86_64
alembic | /usr/local/bin/alembic | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
aliyun | /usr/local/Cellar/aliyun-cli/3.3.14/bin/aliyun | Mach-O 64-bit executable x86_64
ambiguous_words | /usr/local/Cellar/tesseract/5.5.2/bin/ambiguous_words | Mach-O 64-bit executable x86_64
apptainer.lima | /usr/local/Cellar/lima/2.1.4/bin/apptainer.lima | POSIX shell script text executable, ASCII text
archon | /usr/local/bin/archon | Mach-O 64-bit executable x86_64
arduino-cli | /usr/local/Cellar/arduino-cli/1.4.0/bin/arduino-cli | Mach-O 64-bit executable x86_64
arxiv-mcp-server | /usr/local/lib/node_modules/arxiv-mcp-server/bin/arxiv-mcp-server.js | a /usr/bin/env node script text executable, ASCII text
asn1Coding | /usr/local/Cellar/libtasn1/4.21.0/bin/asn1Coding | Mach-O 64-bit executable x86_64
asn1Decoding | /usr/local/Cellar/libtasn1/4.21.0/bin/asn1Decoding | Mach-O 64-bit executable x86_64
asn1Parser | /usr/local/Cellar/libtasn1/4.21.0/bin/asn1Parser | Mach-O 64-bit executable x86_64
atob | /usr/local/Cellar/nss/3.123.1/bin/atob | Mach-O 64-bit executable x86_64
autopoint | /usr/local/Cellar/gettext/1.0/bin/autopoint | POSIX shell script text executable, ASCII text
aviocat | /usr/local/Cellar/ffmpeg/8.1.1/bin/aviocat | Mach-O 64-bit executable x86_64
b2sum | /usr/local/Cellar/coreutils/9.10/bin/gb2sum | Mach-O 64-bit executable x86_64
baddbdir | /usr/local/Cellar/nss/3.123.1/bin/baddbdir | Mach-O 64-bit executable x86_64
bambu-camera | /usr/local/bin/bambu-camera | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
bambu-cli | /usr/local/lib/node_modules/bambu-cli/bin/cli.js | a /usr/bin/env node script text executable, ASCII text
bambu-monitor | /usr/local/bin/bambu-monitor | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
bambu-query | /usr/local/bin/bambu-query | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
base32 | /usr/local/Cellar/coreutils/9.10/bin/gbase32 | Mach-O 64-bit executable x86_64
basenc | /usr/local/Cellar/coreutils/9.10/bin/gbasenc | Mach-O 64-bit executable x86_64
bd_info | /usr/local/Cellar/libbluray/1.4.1/bin/bd_info | Mach-O 64-bit executable x86_64
bd_list_titles | /usr/local/Cellar/libbluray/1.4.1/bin/bd_list_titles | Mach-O 64-bit executable x86_64
bd_splice | /usr/local/Cellar/libbluray/1.4.1/bin/bd_splice | Mach-O 64-bit executable x86_64
bisect-create | /usr/local/Cellar/ffmpeg/8.1.1/bin/bisect-create | POSIX shell script text executable, ASCII text
bltest | /usr/local/Cellar/nss/3.123.1/bin/bltest | Mach-O 64-bit executable x86_64
bomtool | /usr/local/Cellar/pkgconf/2.5.1/bin/bomtool | Mach-O 64-bit executable x86_64
bq | /usr/local/share/google-cloud-sdk/bin/bq | POSIX shell script text executable, ASCII text
brew | /usr/local/Homebrew/bin/brew | Bourne-Again shell script text executable, ASCII text
brotli | /usr/local/Cellar/brotli/1.2.0/bin/brotli | Mach-O 64-bit executable x86_64
browser-use-mcp | /usr/local/lib/node_modules/browser-use-mcp/index.js | a /usr/bin/env node script text executable, ASCII text
bt-run.py | /usr/local/bin/bt-run.py | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text, 
btoa | /usr/local/Cellar/nss/3.123.1/bin/btoa | Mach-O 64-bit executable x86_64
btrun | /usr/local/bin/btrun | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
bubblewrap | /usr/local/lib/node_modules/@bubblewrap/cli/bin/bubblewrap.js | a /usr/bin/env node script text executable, ASCII text
bw | /usr/local/Cellar/bitwarden-cli/2026.1.0/libexec/lib/node_modules/@bitwarden/cli/build/bw.js | a /usr/local/opt/node/bin/node script text executable, ASCII text, with very lon
c++-15 | /usr/local/Cellar/gcc/15.2.0_1/bin/c++-15 | Mach-O 64-bit executable x86_64
c_rehash | /usr/local/Cellar/openssl@3/3.6.2/bin/c_rehash | Perl script text executable
cairo-trace | /usr/local/Cellar/cairo/1.18.4/bin/cairo-trace | POSIX shell script text executable, ASCII text
cairosvg | /usr/local/bin/cairosvg | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
cbc | /usr/local/lib/node_modules/@tencent-ai/codebuddy-code/bin/codebuddy | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
cbc-prewarm | /usr/local/lib/node_modules/@tencent-ai/codebuddy-code/bin/cbc-prewarm | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
cbor2 | /usr/local/bin/cbor2 | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ccmake | /usr/local/Cellar/cmake/4.3.1/bin/ccmake | Mach-O 64-bit executable x86_64
certutil | /usr/local/Cellar/nss/3.123.1/bin/certutil | Mach-O 64-bit executable x86_64
chardetect | /usr/local/bin/chardetect | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
check_arm_indent.sh | /usr/local/Cellar/ffmpeg/8.1.1/bin/check_arm_indent.sh | POSIX shell script text executable, ASCII text
chktest | /usr/local/Cellar/nss/3.123.1/bin/chktest | Mach-O 64-bit executable x86_64
chrome-devtools-mcp | /usr/local/lib/node_modules/chrome-devtools-mcp/build/src/index.js | a /usr/bin/env node script text executable, ASCII text
cjpeg | /usr/local/Cellar/jpeg-turbo/3.1.4.1/bin/cjpeg | Mach-O 64-bit executable x86_64
classifier_tester | /usr/local/Cellar/tesseract/5.5.2/bin/classifier_tester | Mach-O 64-bit executable x86_64
claude | /usr/local/Caskroom/claude-code/2.1.17/claude | Mach-O 64-bit executable x86_64
claude_bak | /usr/local/lib/node_modules/@anthropic-ai/claude-code/cli.js | a /usr/bin/env node script text executable, Unicode text, UTF-8 text, with very 
clawdbot | /usr/local/lib/node_modules/clawdbot/dist/entry.js | a /usr/bin/env node script text executable, ASCII text
clawdhub | /usr/local/lib/node_modules/clawhub/bin/clawdhub.js | a /usr/bin/env node script text executable, ASCII text
clawhub | /usr/local/lib/node_modules/clawhub/bin/clawdhub.js | a /usr/bin/env node script text executable, ASCII text
